objt_id,occu_year,occu_mt,occu_de,occu_tm,occu_day,occu_date,end_year,end_mt,end_de,end_tm,adres,rn_adres,resn,ar,amount,ctprvn_cd,sgg_cd,emd_cd,x,y
1772,2015,10,6,1428,화요일,20151006,2015,10,6,1722,경상북도 봉화군 명호면 관창리 산44-1,null,아궁이불씨발화,0.5,0,47,47920,47920370,14343890.59,4416164.24
4164,2020,1,22,1416,수요일,20200122,2020,1,22,1610,경상북도 봉화군 명호면 북곡리 산64,null,건축물화재 비화,0.01,8886,47,47920,47920370,14351274.74,4409585.032
5057,2021,4,11,2032,일요일,20210411,2021,4,11,2135,경상북도 봉화군 명호면 양곡리 산230-1,null,미상,0.03,3701000,47,47920,47920370,14345072.7,4420749.577
5058,2021,12,30,1457,목요일,20211230,2021,12,30,1730,경상북도 봉화군 명호면 양곡리 산54-2,null,주택화재전이,0.5,46121000,47,47920,47920370,14341887.73,4422760.681
1120,2014,5,22,1520,목요일,20140522,2014,5,22,1650,경상북도 봉화군 명호면 풍호리 산136,null,입산자실화 추정,0.1,0,47,47920,47920370,14347671.74,4418819.113
3113,2018,2,19,1435,월요일,20180219,2018,2,19,1700,경상북도 봉화군 물야면 개단리 산144,null,용접불씨 비화,0.1,22077,47,47920,47920310,14333826.14,4433847.205
4179,2020,2,1,1523,토요일,20200201,2020,2,1,1653,경상북도 봉화군 물야면 개단리 산60-3,null,산업현장실화(기계톱과열),0.1,12127,47,47920,47920310,14333875.1,4435552.859
223,2011,4,24,1505,일요일,20110424,2011,4,24,1613,경상북도 봉화군 물야면 북지리 산133,null,논밭두렁소각,0.2,6798,47,47920,47920310,14332660.72,4430870.855
113,2011,3,18,1335,금요일,20110318,2011,3,18,1435,경상북도 봉화군 물야면 수식리 산59-1,null,불씨취급부주의,0,7509,47,47920,47920310,14324200.81,4428749.628
4422,2020,4,4,1734,토요일,20200404,2020,4,4,1910,경상북도 봉화군 물야면 압동리 산102,null,연탄재투기,0.1,17091,47,47920,47920310,14326936.51,4437662.153
2815,2017,6,3,1400,토요일,20170603,2017,6,3,1630,경상북도 봉화군 물야면 오록리 산98,null,신원미상,0.03,3270,47,47920,47920310,14332969.88,4437346.344
3213,2018,3,27,2347,화요일,20180327,2018,3,28,105,경상북도 봉화군 물야면 오전리 산89,null,원인미상,0.1,7384,47,47920,47920310,14329250.91,4439984.962
3525,2019,1,10,1420,목요일,20190110,2019,1,10,1715,경상북도 봉화군 법전면 리 산187,null,연탄재 투기,0.1,10973,47,47920,47920330,14353339.89,4429647.181
2538,2017,3,22,1602,수요일,20170322,2017,3,22,1830,경상북도 봉화군 법전면 소천리 산185-1,null,입산자 실화추정,2.2,31973,47,47920,47920330,14350485.56,4424062.512
1072,2014,4,25,1528,금요일,20140425,2014,4,25,1917,경상북도 봉화군 법전면 소천리 산185-1,null,입산자실화 추정,0.5,0,47,47920,47920330,14350450.84,4424129.732
3281,2018,4,16,1555,월요일,20180416,2018,4,16,1650,경상북도 봉화군 봉화읍 거촌리 산11,null,농산부산시물(고춧대)소각,0.01,1655,47,47920,47920250,14334270.53,4423935.042
986,2014,4,11,1509,금요일,20140411,2014,4,11,1558,경상북도 봉화군 봉화읍 내성리 산42,null,쓰레기소각,0.03,0,47,47920,47920250,14331560.25,4422200.205
2799,2017,5,30,1120,화요일,20170530,2017,5,30,1420,경상북도 봉화군 상운면 구천리 산145,null,농산폐기물 소각(폐비닐),0.1,9270,47,47920,47920380,14330560.41,4410704.515
1294,2015,3,9,1220,월요일,20150309,2015,3,9,1330,경상북도 봉화군 상운면 구천리 산23,null,논밭두렁소각,0.1,0,47,47920,47920380,14333389.24,4413619.678
1793,2015,10,20,1054,화요일,20151020,2015,10,20,1327,경상북도 봉화군 상운면 문촌리 산150,null,농산폐기물소각,0.1,0,47,47920,47920380,14336146.04,4417635.926
170,2011,4,4,1330,월요일,20110404,2011,4,4,1420,경상북도 봉화군 상운면 문촌리 산150,null,논밭두렁소각,0.05,1533,47,47920,47920380,14336148.99,4417652.202
1122,2014,5,24,1715,토요일,20140524,2014,5,24,1840,경상북도 봉화군 상운면 문촌리 산9,null,입산자실화,0.1,0,47,47920,47920380,14338286.44,4417407.155
3256,2018,4,3,1314,화요일,20180403,2018,4,3,1505,경상북도 봉화군 상운면 토일리 산145,null,묘지정비 중 실화추정,0.5,22319,47,47920,47920380,14335775.68,4414292.855
2989,2017,12,23,530,토요일,20171223,2017,12,23,800,경상북도 봉화군 상운면 하눌리 산20,null,방화(정신이상자),0.9,16730,47,47920,47920380,14334961.19,4419991.755
2207,2016,5,7,1644,토요일,20160507,2016,5,7,1750,경상북도 봉화군 석포면 대현리 산12-5,null,조사중,0.01,0,47,47920,47920390,14363772.69,4449303.093
1824,2015,12,29,1400,화요일,20151229,2015,12,29,1630,경상북도 봉화군 석포면 대현리 산51,null,작업자실화,0.1,0,47,47920,47920390,14360108.95,4448145.549
2760,2017,5,19,1225,금요일,20170519,2017,5,19,2115,경상북도 봉화군 석포면 석포리 산8-1,null,원인미상,0.7,85560,47,47920,47920390,14331716.93,4519157.061
4581,2020,5,4,1310,월요일,20200504,2020,5,4,1640,경상북도 봉화군 소천면 남회룡리 산51-1,null,원인미상,2,149187,47,47920,47920350,14372868.78,4420449.234
2265,2016,6,30,1637,목요일,20160630,2016,6,30,2010,경상북도 봉화군 소천면 남회룡리 산51-1,null,기타(직접입력),0.1,0,47,47920,47920350,14373463.83,4417925.756
1326,2015,3,12,1043,목요일,20150312,2015,3,12,1645,경상북도 봉화군 소천면 남회룡리 산51-1,null,입산자실화,2,0,47,47920,47920350,14372513.06,4420375.071
1084,2014,5,3,1150,토요일,20140503,2014,5,3,1430,경상북도 봉화군 소천면 남회룡리 산51-1,null,조사중,0.2,0,47,47920,47920350,14372513.06,4420375.071
206,2011,4,17,1234,일요일,20110417,2011,4,17,1330,경상북도 봉화군 소천면 두음리 산35-3,null,쓰레기소각,0.1,5697,47,47920,47920350,14367982.63,4424183.173
2288,2016,11,16,941,수요일,20161116,2016,11,16,1136,경상북도 봉화군 소천면 분천리 산155,null,기타(직접입력),0.01,0,47,47920,47920350,14368900.74,4426554.548
4216,2020,2,23,1028,일요일,20200223,2020,2,23,1340,경상북도 봉화군 소천면 서천리 산106-1,null,화목보일러불티부주의,0.1,19994,47,47920,47920350,14364763.26,4418553.944
4180,2020,2,1,1814,토요일,20200201,2020,2,1,1903,경상북도 봉화군 재산면 갈산리 산544,null,전기합선(도복목으로인한),0.02,2092,47,47920,47920360,14362344.95,4419234.465
