damagearea,endday,endmonth,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0.16,06,03,2023,건축물화재비화,547.0,문방,임실,정안,경북,06,월요일,03,00:17:00,2023
0.01,26,02,2023,기타,산5,장양,영천,설악,전남,26,일요일,02,20:31:00,2023
0.04,26,02,2023,기타,산30-6,미산,안성,갑천,경기,26,일요일,02,15:30:00,2023
0.6,26,02,2023,농산부산물소각,산132,양오,광산,팔탄,인천,26,일요일,02,14:41:00,2023
0.1,26,02,2023,농산부산물소각,산4,금성,순천,인월,전북,26,일요일,02,14:23:00,2023
0.5,26,02,2023,농산부산물소각,산69,갈담,단양,송동,전북,26,일요일,02,14:20:00,2023
2,26,02,2023,기타,산220,죽곡,남양주,음봉,경북,26,일요일,02,14:10:00,2023
0.1,26,02,2023,쓰레기소각,산76-5,현곡,화순,해리,경기,26,일요일,02,14:05:00,2023
0.02,26,02,2023,기타,산75-1,장수,임실,집현,광주,26,일요일,02,14:02:00,2023
0.03,26,02,2023,농산부산물소각,산86-19,동산,홍천,두촌,전남,26,일요일,02,13:33:00,2023
0.1,26,02,2023,기타,산35,황정,군산,동안,충북,26,일요일,02,13:27:00,2023
0.33,26,02,2023,기타,산27-5,답내,금남,영춘,경기,26,일요일,02,13:18:00,2023
0.5,26,02,2023,쓰레기소각,산60-2,구례,고흥,가평,전남,26,일요일,02,13:00:00,2023
0.2,26,02,2023,기타,346.0,삼계,고창,상전면,전북,26,일요일,02,12:50:00,2023
0.2,26,02,2023,건축물화재비화,산117,청량,동,봉성,강원,26,일요일,02,11:44:00,2023
0.02,26,02,2023,입산자실화,산67,내흥,평창,광양,전북,26,일요일,02,11:40:00,2023
0.03,26,02,2023,기타,107-2,대박,연천,도화,세종,26,일요일,02,11:26:00,2023
0.05,06,01,2023,기타,산171,양주,장흥,동남,전남,06,금요일,01,15:20:00,2023
0.03,06,01,2023,입산자실화,산9,상평,서,안흥,전북,06,금요일,01,12:45:00,2023
0.01,09,04,2023,입산자실화,산120-1,동부,고흥,점동,울산,09,일요일,04,17:16:00,2023
0.5,09,04,2023,입산자실화,산63-1,창,진주,광탄,강원,09,일요일,04,14:15:00,2023
0.01,09,04,2023,기타,산190,대광,영양,남정,경기,09,일요일,04,12:12:00,2023
0.02,08,02,2023,입산자실화,산105-2,반월,영양,대관령,전남,08,수요일,02,16:51:00,2023
0.15,08,02,2023,입산자실화,산78-1,흑석,부여,위도,대전,08,수요일,02,14:52:00,2023
0.3,08,02,2023,쓰레기소각,572.0,여호,장수,보은,전남,08,수요일,02,13:44:00,2023
0.5,08,02,2023,기타,산97,사곡,동,현산,경남,08,수요일,02,13:17:00,2023
0.05,05,07,2022,기타,산106,산해,영천,홍해,경북,05,화요일,07,16:56:00,2022
0.3,02,07,2022,입산자실화,산202-1,산해,공주,파평,경북,02,토요일,07,14:23:00,2022
0.01,21,06,2022,기타,산42-23,회성,횡성,서종,충남,21,화요일,06,16:19:00,2022
0.02,21,06,2022,기타,산8,사상,오산,사리,전북,21,화요일,06,14:18:00,2022
0.33,21,06,2022,담뱃불실화,산193,진인,계룡,가회,대구,21,화요일,06,13:54:00,2022
0.2,21,06,2022,담뱃불실화,산109,안천,남양주,옥천,경북,21,화요일,06,13:42:00,2022
0.01,21,06,2022,기타,산79,청흥,남양주,부산,충남,21,화요일,06,09:23:00,2022
0.01,20,06,2022,기타,산10,가천,안양,회천,강원,20,월요일,06,13:25:00,2022
0.01,14,06,2022,기타,산19-3,양산,강릉,청성,경기,14,화요일,06,10:45:00,2022
0.01,13,06,2022,입산자실화,4-1,용동,울주,부석,충남,13,월요일,06,05:58:00,2022
0.01,05,06,2022,입산자실화,산12,광전,제천,수륜,경기,05,일요일,06,08:42:00,2022
0.1,05,06,2022,입산자실화,산38,시우,관악,서종,경기,05,일요일,06,06:47:00,2022
0.01,04,06,2022,담뱃불실화,산11-2,석수,서,명호,경기,04,토요일,06,14:20:00,2022
0.06,04,06,2022,기타,산214-1,고단,남양주,옥천,강원,04,토요일,06,11:16:00,2022
0.2,03,06,2022,입산자실화,산268,작동,남원,진산,울산,03,금요일,06,16:54:00,2022
0.1,03,06,2022,건축물화재비화,산1-1,성암,영광,적성,충북,03,금요일,06,16:24:00,2022
0.01,03,06,2022,입산자실화,산58-5,신림,정선,겸백,서울,03,금요일,06,15:45:00,2022
