code,address
4223025328,강원도 삼척시 원덕읍 노경리
4223025330,강원도 삼척시 원덕읍 사곡리
4223025331,강원도 삼척시 원덕읍 기곡리
4223025332,강원도 삼척시 원덕읍 산양리
4223031000,강원도 삼척시 근덕면
4223031021,강원도 삼척시 근덕면 상맹방리
4223031022,강원도 삼척시 근덕면 하맹방리
4223031023,강원도 삼척시 근덕면 금계리
4223031024,강원도 삼척시 근덕면 교가리
4223031025,강원도 삼척시 근덕면 교곡리
4223031026,강원도 삼척시 근덕면 덕산리
4223031027,강원도 삼척시 근덕면 부남리
4223031028,강원도 삼척시 근덕면 광태리
4223031029,강원도 삼척시 근덕면 동막리
4223031030,강원도 삼척시 근덕면 궁촌리
4223031031,강원도 삼척시 근덕면 매원리
4223031032,강원도 삼척시 근덕면 초곡리
4223031033,강원도 삼척시 근덕면 용화리
4223031034,강원도 삼척시 근덕면 장호리
4223032000,강원도 삼척시 하장면
4223032021,강원도 삼척시 하장면 중봉리
4223032022,강원도 삼척시 하장면 번천리
4223032023,강원도 삼척시 하장면 숙암리
4223032024,강원도 삼척시 하장면 광동리
4223032025,강원도 삼척시 하장면 장전리
4223032026,강원도 삼척시 하장면 추동리
4223032027,강원도 삼척시 하장면 한소리
4223032028,강원도 삼척시 하장면 토산리
4223032029,강원도 삼척시 하장면 갈전리
4223032030,강원도 삼척시 하장면 공전리
4223032031,강원도 삼척시 하장면 둔전리
4223032032,강원도 삼척시 하장면 역둔리
4223032033,강원도 삼척시 하장면 대전리
4223032034,강원도 삼척시 하장면 어리
4223032035,강원도 삼척시 하장면 판문리
4223032036,강원도 삼척시 하장면 용연리
4223033000,강원도 삼척시 노곡면
4223033021,강원도 삼척시 노곡면 여삼리
4223033022,강원도 삼척시 노곡면 상천기리
4223033023,강원도 삼척시 노곡면 하반천리
4223033024,강원도 삼척시 노곡면 상반천리
4223033025,강원도 삼척시 노곡면 우발리
4223033026,강원도 삼척시 노곡면 고자리
4223033027,강원도 삼척시 노곡면 하월산리
4223033028,강원도 삼척시 노곡면 개산리
4223033029,강원도 삼척시 노곡면 상월산리
4223033030,강원도 삼척시 노곡면 하군천리
4223033031,강원도 삼척시 노곡면 상군천리
4223033032,강원도 삼척시 노곡면 둔달리
4223033033,강원도 삼척시 노곡면 주지리
4223033034,강원도 삼척시 노곡면 하마읍리
4223033035,강원도 삼척시 노곡면 중마읍리
4223033036,강원도 삼척시 노곡면 상마읍리
4223034000,강원도 삼척시 미로면
4223034021,강원도 삼척시 미로면 무사리
4223034022,강원도 삼척시 미로면 사둔리
4223034023,강원도 삼척시 미로면 하거노리
4223034024,강원도 삼척시 미로면 상거노리
4223034025,강원도 삼척시 미로면 상정리
4223034026,강원도 삼척시 미로면 하정리
4223034027,강원도 삼척시 미로면 천기리
4223034028,강원도 삼척시 미로면 활기리
4223034029,강원도 삼척시 미로면 하사전리
4223034030,강원도 삼척시 미로면 동산리
4223034031,강원도 삼척시 미로면 상사전리
4223034032,강원도 삼척시 미로면 삼거리
4223034033,강원도 삼척시 미로면 고천리
4223034034,강원도 삼척시 미로면 내미로리
4223035000,강원도 삼척시 가곡면
4223035021,강원도 삼척시 가곡면 오목리
4223035022,강원도 삼척시 가곡면 탕곡리
4223035023,강원도 삼척시 가곡면 오저리
4223035024,강원도 삼척시 가곡면 풍곡리
4223035025,강원도 삼척시 가곡면 동활리
4223036000,강원도 삼척시 신기면
4223036021,강원도 삼척시 신기면 신기리
4223036022,강원도 삼척시 신기면 서하리
4223036023,강원도 삼척시 신기면 고무릉리
4223036024,강원도 삼척시 신기면 대이리
4223036025,강원도 삼척시 신기면 대기리
4223036026,강원도 삼척시 신기면 안의리
4223036027,강원도 삼척시 신기면 대평리
4223036028,강원도 삼척시 신기면 마차리
4272000000,강원도 홍천군
4272025000,강원도 홍천군 홍천읍
4272025021,강원도 홍천군 홍천읍 진리
4272025022,강원도 홍천군 홍천읍 신장대리
4272025023,강원도 홍천군 홍천읍 희망리
4272025024,강원도 홍천군 홍천읍 갈마곡리
4272025025,강원도 홍천군 홍천읍 검율리
4272025026,강원도 홍천군 홍천읍 와동리
4272025027,강원도 홍천군 홍천읍 결운리
4272025028,강원도 홍천군 홍천읍 태학리
4272025029,강원도 홍천군 홍천읍 연봉리
4272025030,강원도 홍천군 홍천읍 하오안리
4272025031,강원도 홍천군 홍천읍 장전평리
4272025032,강원도 홍천군 홍천읍 삼마치리
4272025033,강원도 홍천군 홍천읍 상오안리
4272031000,강원도 홍천군 화촌면
4272031021,강원도 홍천군 화촌면 송정리
4272031022,강원도 홍천군 화촌면 내삼포리
4272031023,강원도 홍천군 화촌면 성산리
4272031024,강원도 홍천군 화촌면 야시대리
4272031025,강원도 홍천군 화촌면 주음치리
4272031026,강원도 홍천군 화촌면 군업리
4272031027,강원도 홍천군 화촌면 장평리
4272031028,강원도 홍천군 화촌면 굴운리
4272031029,강원도 홍천군 화촌면 구성포리
4272031030,강원도 홍천군 화촌면 풍천리
4272031031,강원도 홍천군 화촌면 외삼포리
4272032000,강원도 홍천군 두촌면
4272032021,강원도 홍천군 두촌면 철정리
4272032022,강원도 홍천군 두촌면 역내리
4272032023,강원도 홍천군 두촌면 천현리
4272032024,강원도 홍천군 두촌면 자은리
4272032025,강원도 홍천군 두촌면 원동리
4272032026,강원도 홍천군 두촌면 장남리
4272032027,강원도 홍천군 두촌면 괘석리
4272033000,강원도 홍천군 내촌면
4272033021,강원도 홍천군 내촌면 물걸리
4272033022,강원도 홍천군 내촌면 와야리
4272033023,강원도 홍천군 내촌면 서곡리
4272033024,강원도 홍천군 내촌면 도관리
4272033025,강원도 홍천군 내촌면 답풍리
4272033026,강원도 홍천군 내촌면 화상대리
4272033027,강원도 홍천군 내촌면 문현리
4272033028,강원도 홍천군 내촌면 광암리
4272034000,강원도 홍천군 서석면
4272034021,강원도 홍천군 서석면 풍암리
4272034022,강원도 홍천군 서석면 검산리
4272034023,강원도 홍천군 서석면 생곡리
4272034024,강원도 홍천군 서석면 상군두리
4272034025,강원도 홍천군 서석면 하군두리
